Election Year,Place (ZZ = Exterior),Municipality Code,Municipality Name,Gender Code,Gender Description,Marital Status Code,Marital Status Description,Age Group Code,Age Group Description,Educational Attainment Code,Educational Attainment Description,Quantity of Voters
ANO_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,CD_GENERO,DS_GENERO,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL,CD_FAIXA_ETARIA,DS_FAIXA_ETARIA,CD_GRAU_ESCOLARIDADE,DS_GRAU_ESCOLARIDADE,QT_ELEITORES_PERFIL
1998,ZZ,98523,CINGAPURA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,71
1998,ZZ,29220,REPUBLICA DOS CAMAROES,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,15
1998,ZZ,11169,CHILE,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,402
1998,ZZ,98280,REPUBLICA DOMINICANA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,43
1998,ZZ,98060,GABAO,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,12
1998,ZZ,29246,HAITI,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,13
1998,ZZ,98027,GUINE BISSAU,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,85
1998,ZZ,98760,RUSSIA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,50
1998,ZZ,11126,ARABIA SAUDITA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,27
1998,ZZ,29009,PAISES BAIXOS,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,206
1998,ZZ,11584,VENEZUELA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,167
1998,ZZ,29122,MARROCOS,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,13
1998,ZZ,29122,MARROCOS,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,20
1998,ZZ,98167,TOGO,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,3
1998,ZZ,98469,EL SALVADOR,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,75
1998,ZZ,98205,TAILANDIA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,20
1998,ZZ,11444,PARAGUAI,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,345
1998,ZZ,98540,CHINA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,53
1998,ZZ,98221,SIRIA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,9
1998,ZZ,98868,CUBA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,53
1998,ZZ,11240,ESPANHA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,424
1998,ZZ,98442,FILIPINAS,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,29
1998,ZZ,11282,FRANCA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,1303
1998,ZZ,29190,JAMAICA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,2
1998,ZZ,29114,MOCAMBIQUE,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,122
1998,ZZ,29190,JAMAICA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,3
1998,ZZ,29165,KENIA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,3
1998,ZZ,29173,IUGUSLAVIA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,13
1998,ZZ,98922,BELGICA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,161
1998,ZZ,2800,VIETNA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,4
1998,ZZ,11380,JAPAO,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,337
1998,ZZ,11541,SURINAME,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,80
1998,ZZ,11800,BOLIVIA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,843
1998,ZZ,98787,AFRICA DO SUL,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,90
1998,ZZ,11304,GUIANA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,57
1998,ZZ,98205,TAILANDIA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,24
1998,ZZ,11347,ISRAEL,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,92
1998,ZZ,98108,TURQUIA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,29
1998,ZZ,11541,SURINAME,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,121
1998,ZZ,98140,TRINIDAD TOBAGO,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,22
1998,ZZ,29130,MALASIA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,18
1998,ZZ,98906,CANADA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,1061
1998,ZZ,29211,INDONESIA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,18
1998,ZZ,2828,TAIWAN,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,42
